tartan_handle,colourway,product_handle,tag
abel,,abel-tartan-kilt,abel tartan
abercrombie,,aber-cromb-tartan-kilt-limited,abercrombie tartan
ailsa-pink,,ailsa-pink-tartan-kilt,ailsa pink tartan
allen-1996,,allen-tartan-kilt-1996,allen tartan
american-national,,american-national-tartan-kilt,american national tartan
anderson,,anderson-tartan-kilt,anderson tartan
angus,,angus-tartan-kilt,angus tartan
angus,weathered,angus-muted-tartan-kilt,angus muted tartan
armstrong,,armstrong-tartan-kilt,armstrong tartan
ayrshire,,ayrshire-tartan-kilt,ayrshire tartan
baillie-highland-society,,baillie-tartan-kilt,baillie tartan
baillie-highland-society,ancient,baillie-ancient-tartan-kilt,baillie ancient tartan
baird,,baird-tartan-kilt,baird tartan
baird,ancient,baird-ancient-tartan-kilt,baird ancient tartan
barclay-hunting,,barclay-hunting-tartan-kilt,barclay hunting tartan
barclay-hunting,ancient,barclay-hunting-ancient-tartan-kilt,barclay hunting tartan
bell-of-borders,,bell-of-borders-tartan-kilt,bell of borders tartan
black-shadow,,black-shadow-tartan-kilt,black shadow tartan
black-stewart,,stewart-black-tartan-kilt,stewart black tartan
black-watch,,black-watch-kilt,black watch tartan
black-watch,ancient,black-watch-ancient-tartan-kilt,black watch tartan
black-watch,weathered,black-watch-weathered-tartan-kilt,black watch weathered tartan
blair,,blair-tartan-kilt,blair clan tartan
borthwick,,borthwick-tartan-kilt,borthwick tartan
boyd,,boyd-tartan-kilt,boyd tartan
boyd,ancient,boyd-ancient-tartan-kilt,boyd ancient tartan
brodie-hunting-ancient,,brodie-hunting-tartan-kilt,brodie hunting tartan
brown,,brown-tartan-kilt,brown tartan
brown-watch,,brown-watch-tartan-kilt,brown watch tartan
bruce,,bruce-tartan-kilt,bruce clan tartan
bruce,ancient,bruce-ancient-tartan-kilt,bruce ancient tartan
buchanan,,buchanan-of-leny-tartan-kilt,buchanan tartan
buchanan,,buchanan-tartan-kilt,buchanan tartan
buchanan,weathered,buchanan-weathered-tartan-kilt,buchanan weathered tartan
buchanan-hunting,,buchanan-hunting-tartan-kilt,buchanan hunting tartan
burnett,,burnett-tartan-kilt,burnett tartan
burns,,burns-tartan-kilt,burns tartan
burns-check,,burns-check-tartan-kilt,burns check tartan
butler,,butler-tartan-kilt,butler tartan
california-state,,california-state-tartan-kilt,california state tartan
callaghan,,callaghan-tartan-kilt,callaghan tartan
cameron,,cameron-of-erracht-tartan-kilt,cameron tartan
cameron,,cameron-tartan-kilt,cameron tartan
cameron-hunting-muted,weathered,cameron-hunting-muted-tartan-kilt,cameron hunting tartan
cameron-of-erracht,,cameron-of-erracht-tartan-kilt,cameron of erracht tartan
cameron-of-erracht,ancient,cameron-of-erracht-ancient-tartan-kilt,cameron of erracht tartan
campbell,,campbell-tartan-kilt,campbell tartan
campbell,ancient,campbell-ancient-tartan-kilt,campbell ancient tartan
campbell,weathered,campbell-of-argyll-weathered-tartan-kilt,campbell weathered tartan
campbell-dress,,campbell-dress-tartan-kilt,campbell dress tartan
campbell-of-argyll,,campbell-of-argyll-tartan-kilt,campbell of argyll tartan
campbell-of-argyll,ancient,campbell-of-argyll-ancient-tartan-kilt,campbell of argyll tartan
carmichael,,carmichael-tartan-kilt,carmichael tartan
carnegie,,carnegie-tartan-kilt,carnegie tartan
chinese-scottish,,chinese-scottish-tartan-kilt,chinese scottish tartan
chisholm,,chisholm-tartan-kilt,chisholm tartan
chisholm-hunting,,chisholm-hunting-tartan-kilt,chisholm hunting tartan
clark,,clark-tartan-kilt,clark tartan
clark,ancient,clark-ancient-tartan-kilt,clark ancient tartan
clergy,,clergy-tartan-kilt,clergy tartan
cockburn,,cockburn-tartan-kilt,cockburn tartan
colquhoun,,colquhoun-tartan-kilt-kirkpatrick,colquhoun tartan
