rank,display_name,repo_slug,repo_name,score,orders,search_volume,in_stock
1,Black Watch,CUSTOM:black-watch,(custom),100.0,974,11050,yes
2,Royal Stewart,stuart-stewart,Stuart / Stewart,90.44,470,4690,yes
3,MacDonald,macdonald,MacDonald,85.87,333,3090,yes
4,Campbell,campbell,Campbell,84.71,206,6890,yes
5,MacKenzie,mackenzie,Mackenzie,81.46,194,3330,yes
6,Fraser,fraser-of-lovat,Fraser of Lovat,80.66,154,4580,yes
7,Buchanan,buchanan,Buchanan,79.59,137,4510,yes
8,MacGregor,macgregor-modern,"MacGregor, Modern",79.57,172,2660,yes
9,Gordon,gordon,Gordon,78.16,141,2890,yes
10,Anderson,anderson,Anderson,77.02,162,1550,yes
11,Douglas,douglas,Douglas,76.52,126,2420,yes
12,Wallace,wallace,Wallace,75.75,139,1570,yes
13,Davidson,davidson,Davidson,74.6,148,1000,yes
14,Cameron,cameron,Cameron,73.65,102,1830,yes
15,Robertson,robertson,Robertson,72.82,109,1260,yes
16,Pride of Scotland,pride-of-scotland,Pride of Scotland,72.24,202,260,yes
17,MacKay,mackay,MacKay,71.61,113,840,yes
18,MacLaren,maclaren,MacLaren,71.23,91,1250,yes
19,Black Stewart,stuart-stewart-black,Stuart / Stewart Black,71.1,144,420,yes
20,MacLeod of Lewis,macleod-of-lewis-vestiarium-scoticum,MacLeod of Lewis (Vestiarium Scoticum),70.89,142,410,yes
21,Bruce,bruce,Bruce,70.58,83,1300,yes
22,MacPherson,macpherson,MacPherson,69.25,67,1490,yes
23,Murray,murray,Murray,68.74,99,530,yes
24,Lindsay,lindsay,Lindsay,68.18,73,920,yes
25,Heritage of Scotland,heritage-of-scotland,Heritage of Scotland,67.29,149,140,yes
26,MacFarlane,macfarlane-red,MacFarlane Red,67.27,66,910,yes
27,Farquharson,farquharson,Farquharson,67.17,75,660,yes
28,Ferguson,ferguson,Ferguson,66.81,54,1270,yes
29,Armstrong,armstrong,Armstrong,66.78,67,770,yes
30,Johnstone,johnston-johnstone,Johnston / Johnstone,66.45,69,660,yes
31,Gunn,gunn,Gunn,66.35,51,1280,yes
32,Forbes,forbes,Forbes,66.22,70,600,yes
33,Scottish National,scottish-national,Scottish National,66.09,144,110,yes
34,Lamont,lamont,Lamont,66.01,62,750,yes
35,Barclay Hunting,barclay,Barclay,65.94,93,290,yes
36,Duncan,duncan,Duncan,65.93,57,890,yes
37,Sutherland,sutherland,Sutherland,65.92,64,680,yes
38,MacMillan,macmillan,MacMillan,65.77,61,730,yes
39,Grant,grant,Grant,65.63,60,730,yes
40,Smith,smith,Smith,65.42,71,470,yes
41,Clark,clark,Clark,65.19,64,560,yes
42,MacDuff,macduff,MacDuff,65.14,57,720,yes
43,Scott,scott,Scott,63.87,48,760,yes
44,Keith,keith,Keith,63.83,53,600,yes
45,Isle of Skye,skye-isle-of,"Skye, Isle of",63.82,55,550,yes
46,MacLachlan,maclachlan,MacLachlan,63.78,87,190,yes
47,Munro,munro,Munro,63.73,52,610,yes
48,MacLeod of Harris,macleod-of-assynt,MacLeod of Assynt,63.64,82,210,yes
49,Stewart Dress,stuart-stewart-dress,Stuart / Stewart Dress,63.41,59,420,yes
50,Henderson,henderson-mackendrick,Henderson / MacKendrick,63.41,46,740,yes
51,Hunting Stewart,stuart-stewart-hunting,Stuart / Stewart Hunting,63.1,77,210,yes
52,MacRae,macrae,MacRae,63.06,52,510,yes
53,Ross,ross,Ross,62.99,40,910,yes
54,Taylor,taylor,Taylor,62.72,55,410,yes
55,Kerr,kerr,Kerr,62.53,41,760,yes
56,Sinclair,sinclair,Sinclair,62.29,37,900,yes
57,Maxwell,maxwell,Maxwell,62.28,54,380,yes
58,MacLellan,maclellan,MacLellan,62.17,60,290,yes
59,Dress Gordon,gordon-dress,Gordon Dress,62.15,52,400,yes
60,MacKinnon,mackinnon,MacKinnon,62.08,50,430,yes
61,US Army,us-army,U.S. Army,61.78,69,190,yes
62,MacNeil of Barra,macneil-of-barra,MacNeil of Barra,61.43,43,510,yes
63,MacNaughton,macnaughton,MacNaughton,61.38,63,210,yes
64,Cunningham,cunningham,Cunningham,61.2,30,1080,yes
65,Leslie,leslie-clan-tartan-tartan-number-1142-earliest-known-date-1842-the-vestarium-scoticum-see-products-available-copyright-blair-urquhart-comrie-2015,Leslie,61.0,54,270,yes
66,MacDougall,macdougall,MacDougall,60.95,36,670,yes
67,Brown Watch,brown-watch,Brown Watch,60.69,77,110,yes
68,Clergy,clergy,Clergy,60.59,63,170,yes
69,Baird,baird,Baird,60.59,40,480,yes
70,Elliot,elliot,Elliot,60.49,46,340,yes
71,Ailsa Pink,ailsa-pink,Ailsa Pink,60.48,116,40,yes
72,Watson,watson,Watson,60.33,57,200,yes
73,Wilson,wilson,Wilson,60.26,40,440,yes
74,Shaw,shaw,Shaw,59.52,30,690,yes
75,Blair,blair,Blair,59.32,43,290,yes
76,Cornish,cornish-national,Cornish National,59.1,53,170,yes
77,Mitchell,mitchell,Mitchell,58.97,38,350,yes
78,Kennedy,kennedy,Kennedy,58.77,28,660,yes
79,Gallagher,gallagher-ancient,Gallagher Ancient,58.49,47,190,yes
80,MacCallum,maccallum,MacCallum,58.49,47,190,yes
81,Cooper,cooper-couper,Cooper / Couper,58.25,42,230,yes
82,Boyd,boyd,Boyd,58.15,30,480,yes
83,Tara Murphy,murphy-tara,Murphy / Tara,58.13,38,280,yes
84,MacLean,maclean,MacLean,57.94,36,1140,no
85,Napier,napier,Napier,57.91,37,280,yes
86,Campbell of Argyll,campbell-of-argyll,Campbell of Argyll,57.82,35,310,yes
87,Montgomery,montgomery,Montgomery,57.65,28,490,yes
88,Young,young,Young,57.48,37,250,yes
89,County Donegal Irish,donegal-county,"Donegal, County",56.39,30,300,yes
90,Fraser Hunting,fraser-hunting,Fraser Hunting,56.11,29,300,yes
91,MacKintosh,mackintosh,MacKintosh,55.97,27,340,yes
92,Morrison,morrison,Morrison,55.66,26,340,yes
93,Robertson Hunting,robertson-hunting,Robertson Hunting,55.62,66,40,yes
94,Scotland Forever,scotland-forever,Scotland Forever,55.54,38,140,yes
95,Graham of Montrose,graham-of-montrose,Graham of Montrose,55.23,32,190,yes
96,Macalister,macalister-clan,MacAlister (Clan),55.14,22,430,yes
97,Burnett,burnett,Burnett,54.91,20,500,yes
98,Muir,muir-moore,Muir / Moore,54.86,25,300,yes
99,MacLean of Duart,maclean-of-duart,MacLean of Duart,54.34,27,220,yes
100,Logan,logan,Logan,53.98,24,260,yes
101,O'Sullivan,osullivan,O'Sullivan,53.91,22,310,yes
102,Craig,craig,Craig,53.57,20,350,yes
103,Brown,brown,Brown,53.49,16,560,yes
104,Crawford,crawford,Crawford,53.49,16,560,yes
105,Murray Of Atholl,murray-of-atholl,Murray of Atholl,53.47,20,340,yes
106,O'Neill,oneill,O'Neill,53.39,18,420,yes
